st_name,pc_name,pc_code,pc91_state_id,pc91_district_id,state_clean,district_clean,pc_weight_relative,dist_weight_relative,pc_weight_absolute
AS,Karimganj,S0301,4,21,assam,karimganj,0.25773652570106276,0.7618406632967554,0.25773628156375356
AS,Karimganj,S0301,17,1,mizoram,aizawl,0.2564237615976902,0.06967673458896508,0.25642351870387836
AS,Karimganj,S0301,4,23,assam,cachar,0.12311800302995103,0.1086509740192116,0.1231178864081494
AS,Kokrajhar,S0305,4,2,assam,kokrajhar,0.43982616086624926,0.5451324124803102,0.4396807284723474
AS,Kokrajhar,S0305,4,5,assam,barpeta,0.19419317057315677,0.41287617639356644,0.19412895889093162
AS,Kokrajhar,S0305,4,6,assam,nalbari,0.16258513321329074,0.5679064236617111,0.16253137300700948
AS,Kokrajhar,S0305,4,3,assam,bongaigaon,0.14993177650864675,0.5382735269862183,0.14988220024620555
AS,Kokrajhar,S0305,4,7,assam,kamrup,0.032748683457975124,0.05296246101731702,0.032737854817352544
AS,Kokrajhar,S0305,4,2,assam,dhubri,0.020715075380681385,0.025674823422830347,0.020708225758556735
AS,Lakhimpur,S0314,4,10,assam,lakhimpur,0.28444054782593164,0.7604925065087301,0.28332929451992334
AS,Lakhimpur,S0314,4,18,assam,tinsukia,0.2167294498124688,0.47170980231324766,0.2158827304559836
AS,Lakhimpur,S0314,4,11,assam,dhemaji,0.17105793156621124,0.6578858756724904,0.17038964185356373
AS,Lakhimpur,S0314,4,15,assam,jorhat,0.13717892491949715,0.41776044510299404,0.1366429938259994
AS,Lakhimpur,S0314,4,17,assam,dibrugarh,0.11371872741632162,0.26479875040522666,0.11327445070274358
AS,Lakhimpur,S0314,4,14,assam,golaghat,0.03359826287377796,0.08246022136080525,0.03346700106536143
AS,Lakhimpur,S0314,4,16,assam,sivasagar,0.025698385400603607,0.07799182354007068,0.025597986860543938
AS,Lakhimpur,S0314,3,9,arunachal pradesh,lohit,0.01757777018518796,0.015920017808446162,0.017509097292452227
AS,Mangaldoi,S0308,4,8,assam,darrang,0.6489511478405591,0.9840171433698849,0.6489511478405585
AS,Mangaldoi,S0308,4,7,assam,kamrup,0.22483187266758908,0.2229951476371092,0.2248318726675889
AS,Mangaldoi,S0308,4,12,assam,morigaon,0.07371009184827854,0.23507533968941877,0.07371009184827847
AS,Mangaldoi,S0308,4,6,assam,nalbari,0.028482992408617385,0.061016148057974035,0.028482992408617357
AS,Mangaldoi,S0308,4,9,assam,sonitpur,0.024023895234955867,0.020578873403655575,0.024023895234955846
AS,Nowgong,S0310,4,13,assam,nagaon,0.5129537390476742,0.49200798440318055,0.5122843146690359
AS,Nowgong,S0310,4,12,assam,morigaon,0.2558618292016382,0.7649246603105813,0.25552791966361915
AS,Nowgong,S0310,4,19,assam,karbi anglong,0.17636913259331796,0.07068498184916165,0.1761389640849132
AS,Nowgong,S0310,4,7,assam,kamrup,0.02810956045569487,0.026135128015275746,0.028072876397056787
AS,Nowgong,S0310,4,20,assam,dima hasao,0.026705738701674798,0.022587814008908528,0.026670886684474114
AS,Silchar,S0302,4,23,assam,cachar,0.6856958392302499,0.721214337792123,0.683712181933765
AS,Silchar,S0302,15,3,manipur,churachandpur,0.11026681448027685,0.09278216269785285,0.10994782235783741
AS,Silchar,S0302,15,7,manipur,imphal west,0.0875466770393451,0.2077908742665353,0.08729341226106228
AS,Silchar,S0302,15,2,manipur,tamenglong,0.0741652787890821,0.06930194341986302,0.07395072521007695
AS,Silchar,S0302,17,1,mizoram,aizawl,0.034972715365172206,0.0113260807106594,0.03487154239890499
AS,Silchar,S0302,4,22,assam,hailakandi,0.007352675095873774,0.023589834520687837,0.007331404458415939
AS,Tezpur,S0309,4,9,assam,sonitpur,0.6493367433815785,0.7948119884476909,0.6441773963632588
AS,Tezpur,S0309,4,13,assam,nagaon,0.1481274995866677,0.21657726307944553,0.14695054297499707
AS,Tezpur,S0309,4,14,assam,golaghat,0.10427398160546153,0.1904092622781095,0.10344546595226936
AS,Tezpur,S0309,4,10,assam,lakhimpur,0.06496038940314604,0.1292220103159381,0.06444424243504036
AS,Tezpur,S0309,4,15,assam,jorhat,0.033301386023146286,0.0754547652923919,0.033036787710428485
BR,Araria,S0422,5,41,bihar,araria,0.5810299740854847,0.6710096427701431,0.5810299740854848
BR,Araria,S0422,5,21,bihar,saharsa,0.24699027339113283,0.21466064642944174,0.2469902733911329
BR,Araria,S0422,5,23,bihar,purnia,0.10331169006552625,0.07865322783943532,0.10331169006552626
BR,Araria,S0422,5,22,bihar,madhepura,0.06866806245785617,0.0962124064072827,0.06866806245785619
BR,Arrah,S0433,5,3,bihar,bhojpur,0.5574295512381852,0.260901208017973,0.557429551238185
BR,Arrah,S0433,5,1,bihar,patna,0.3224611763190186,0.19131540402668218,0.32246117631901855
BR,Arrah,S0433,5,6,bihar,jehanabad,0.12010927244279612,0.12970217238984286,0.1201092724427961
BR,Aurangabad,S0437,5,5,bihar,aurangabad,0.6365350211600577,0.9539081001248909,0.6362250610461507
BR,Aurangabad,S0437,5,7,bihar,gaya,0.2636838256850144,0.21365592501477598,0.26355542510071384
